problem,sample,t_dry_h,h,h_m,D_scale,T_plateau,C_plateau
P4,14,49.769471108167366,25.16762439591112,7.933256769852024e-07,1.0274212157630875,50.11948769134402,0.05010090619704936
P4,15,49.50197750818603,25.302338663000125,7.728219450134456e-07,1.0447062083311662,49.86701039437834,0.049934010305522664
P4,16,51.327418080251775,24.45403373275149,8.137460785378163e-07,0.9987363066072511,49.885714930076546,0.04985352666627975
P4,17,50.66272980227162,25.260789366934095,7.993186665872741e-07,1.01013821213404,50.012958086482385,0.05010148928190651
P4,18,49.19875478253878,26.045992144676493,7.750605728881891e-07,1.0442120869470535,50.073375220751416,0.05003044796247001
P4,19,49.43635745494317,25.399018168727373,8.036848183920513e-07,1.041726329964284,49.923626998901824,0.05001922799183342
P4,20,50.76262698171193,25.785607654679126,7.707809161296904e-07,1.0115508274358866,49.969424152310104,0.050066334140841384
P4,21,49.510026578897836,23.91928590155135,8.085451504827363e-07,1.0357078689986647,50.030330565978204,0.04994068636728735
P4,22,50.59009364467432,25.38949013980472,7.870522274188808e-07,1.016859278841009,49.89529076628321,0.04992900423879973
P4,23,51.12292915290526,23.83179594549229,7.667127511170152e-07,1.0054769619816506,49.92320433135751,0.04999571073566212
P4,24,51.78563583360526,25.3989238326821,8.304948943479619e-07,0.9855061014588539,49.94669589352941,0.04993851897081354
P4,25,49.71925811141727,24.044624111310988,8.130546691725812e-07,1.031965458143721,49.98837588076873,0.050007638356419394
P4,26,49.844386635570935,26.146200284239047,8.159132137321992e-07,1.0245034886647653,50.100861498828515,0.0499108644627848
P4,27,49.661920757705175,25.37541514580173,8.173915604261114e-07,1.0342227929723526,49.95347662154475,0.05004450983432486
P4,28,53.09407494973194,25.261001514506514,7.927488827058132e-07,0.9601685757082163,49.95597832124953,0.05012212237611112
P4,29,52.017913214196895,24.291308754031995,7.69091039487054e-07,0.9867679424737008,49.887900464790356,0.049925389682279504
P4,30,50.911973064978,26.03614030525731,7.855025665156464e-07,1.0085889514546826,49.92510744979007,0.05003862870346774
P4,31,51.55923558103801,24.069140969162206,8.231847506620404e-07,0.9922946044771592,49.91023038211759,0.05006413401935812
P4,32,52.22389401174131,25.13570634756808,7.950516008264775e-07,0.9740626041813774,50.07165732838734,0.049953103513469696
P4,33,53.422668430377904,23.85772672658649,8.372295415875744e-07,0.9530464808124895,49.89316381670373,0.0499815071378995
P4,34,50.68717578641069,24.269637353929834,7.868108030068876e-07,1.006756524193334,50.11931958181074,0.05011444489124402
